Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 1.80 s using 788 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?h  ?b  /tv/tv_program/program_creator  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.177121771	0.143283582	0.355555556	48	335	135	?a
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?h  ?h  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.509225092	0.2	0.290526316	138	690	475	?a
?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?h  ?h  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.014760148	0.075471698	0.5	4	53	8	?a
?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?h  ?h  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.014760148	0.032258065	0.4	4	124	10	?a
?h  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.029520295	0.016877637	0.258064516	8	474	31	?a
?h  /award/award_winner/awards_won./award/award_honor/award_winner  ?a  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.103321033	0.012522361	0.451612903	28	2236	62	?a
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?h  ?h  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.32103321	0.090625	0.28807947	87	960	302	?a
?g  /award/award_winner/awards_won./award/award_honor/award_winner  ?a  ?g  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.040590406	0.080882353	0.423076923	11	136	26	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?h  ?h  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.05904059	0.053511706	0.347826087	16	299	46	?a
?g  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a  ?g  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.055350554	0.050847458	0.365853659	15	295	41	?a
?g  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a  ?g  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.018450185	0.041322314	0.5	5	121	10	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?h  ?h  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.494464945	0.079289941	0.277432712	134	1690	483	?a
?g  /award/award_winner/awards_won./award/award_honor/award_winner  ?a  ?g  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.328413284	0.092805005	0.293729373	89	959	303	?a
?h  /award/award_winner/awards_won./award/award_honor/award_winner  ?a  ?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.505535055	0.018421406	0.23951049	137	7437	572	?a
?g  /award/award_winner/awards_won./award/award_honor/award_winner  ?a  ?g  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.512915129	0.199712644	0.296375267	139	696	469	?a
?g  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a  ?g  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.014760148	0.068965517	0.5	4	58	8	?a
?h  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b  ?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.531365314	0.009381107	0.173493976	144	15350	830	?a
?b  /sports/sports_position/players./sports/sports_team_roster/position  ?h  ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?h   => ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?b	0.021857923	0.4	0.4	4	10	10	?a
?g  /sports/sports_position/players./sports/sports_team_roster/position  ?b  ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?g   => ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?b	0.021857923	0.4	0.4	4	10	10	?a
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?h  ?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.498154982	0.017944969	0.238515901	135	7523	566	?a
?a  /location/hud_county_place/place  ?h  ?h  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.120643432	1	1	45	45	45	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?h  ?h  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.642066421	0.170421156	0.309058615	174	1021	563	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?h  ?h  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.075067024	0.072916667	1	28	384	28	?a
?g  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a  ?g  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.642066421	0.178096213	0.311827957	174	977	558	?a
?a  /location/hud_county_place/county  ?h  ?h  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.040214477	0.073529412	1	15	204	15	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.096514745	0.06741573	1	36	534	36	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.096514745	0.066298343	1	36	543	36	?a
?a  /base/biblioness/bibs_location/country  ?h  ?h  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.09383378	0.063520871	1	35	551	35	?a
?g  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a  ?g  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.479704797	0.076786769	0.261569416	130	1693	497	?a
?g  /sports/sports_position/players./sports/sports_team_roster/position  ?b  ?g  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?b	0.021857923	0.000906413	0.4	4	4413	10	?a
?h  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b  ?a  /location/us_county/county_seat  ?h   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.048257373	0.666666667	1	18	27	18	?a
?b  /sports/sports_position/players./sports/sports_team_roster/position  ?h  ?h  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?b	0.021857923	0.000887705	0.4	4	4506	10	?a
?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?h  ?h  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.018766756	0.212121212	1	7	33	7	?a
?h  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b  ?a  /location/location/contains  ?h   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.024128686	0.128571429	1	9	70	9	?a
?h  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b  ?a  /location/location/contains  ?h   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.056300268	0.069536424	1	21	302	21	?a
?a  /location/location/contains  ?h  ?h  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.050938338	0.066666667	1	19	285	19	?a
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.077747989	0.135514019	1	29	214	29	?a
?a  /location/administrative_division/country  ?h  ?h  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.010723861	0.011173184	1	4	358	4	?a
?a  /location/administrative_division/country  ?h  ?h  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.010723861	0.012944984	1	4	309	4	?a
?h  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b  ?a  /location/location/contains  ?h   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.053619303	0.084388186	1	20	237	20	?a
?a  /location/administrative_division/country  ?h  ?h  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.010723861	0.011661808	1	4	343	4	?a
?a  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h  ?h  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.576407507	0.74137931	1	215	290	215	?a
?g  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b  ?g  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.542435424	0.009631134	0.177108434	147	15263	830	?a
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?h  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.092250923	0.011327594	0.454545455	25	2207	55	?a
?h  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b  ?a  /location/location/contains  ?h   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.026809651	0.12987013	1	10	77	10	?a
?g  /location/country/second_level_divisions  ?a  ?g  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.656836461	0.609452736	1	245	402	245	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?h  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.173431734	0.009015922	0.267045455	47	5213	176	?a
?g  /location/country/second_level_divisions  ?a  ?g  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.656836461	0.617128463	1	245	397	245	?a
?g  /location/hud_county_place/county  ?a  ?g  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.040214477	0.428571429	1	15	35	15	?a
?g  /location/country/second_level_divisions  ?a  ?g  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.656836461	0.590361446	1	245	415	245	?a
?h  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b  ?a  /location/location/contains  ?h   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.024128686	0.118421053	1	9	76	9	?a
?g  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.032171582	0.16	1	12	75	12	?a
?g  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.048257373	0.092307692	1	18	195	18	?a
?g  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b  ?g  /location/us_county/county_seat  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.048257373	0.134328358	1	18	134	18	?a
?g  /location/location/contains  ?a  ?g  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.045576408	0.055555556	1	17	306	17	?a
?g  /location/hud_county_place/place  ?a  ?g  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.120643432	1	1	45	45	45	?a
?g  /film/film/estimated_budget./measurement_unit/dated_money_value/currency  ?b  ?g  /film/film/featured_film_locations  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.021447721	0.041025641	1	8	195	8	?a
?g  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.032171582	0.153846154	1	12	78	12	?a
?g  /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency  ?b  ?g  /people/person/place_of_birth  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.048257373	0.120805369	1	18	149	18	?a
?g  /base/aareas/schema/administrative_area/capital  ?a  ?g  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.013404826	0.138888889	1	5	36	5	?a
?g  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.034852547	0.156626506	1	13	83	13	?a
?g  /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency  ?b  ?g  /music/artist/origin  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.018766756	0.107692308	1	7	65	7	?a
?g  /location/location/contains  ?a  ?g  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.211796247	0.045903544	1	79	1721	79	?a
?g  /location/location/contains  ?a  ?g  /location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.209115282	0.045428072	1	78	1717	78	?a
?g  /location/location/contains  ?a  ?g  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.211796247	0.045930233	1	79	1720	79	?a
?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a  ?g  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.576407507	0.754385965	1	215	285	215	?a
?g  /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency  ?b  ?g  /people/person/places_lived./people/place_lived/location  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.067024129	0.09765625	1	25	256	25	?a
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /tv/tv_program/program_creator  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.052805281	0.369230769	0.475247525	48	130	101	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/story_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01430143	0.083870968	0.236363636	13	155	55	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?h  ?b  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.03850385	0.275590551	0.52238806	35	127	67	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?h  ?b  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.0330033	0.168539326	0.352941176	30	178	85	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/written_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.084708471	0.097964377	0.275	77	786	280	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/produced_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.072607261	0.050151976	0.16097561	66	1316	410	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/cinematography  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01980198	0.08	0.21686747	18	225	83	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/edited_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01320132	0.048780488	0.181818182	12	246	66	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/film_production_design_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01760176	0.076190476	0.197530864	16	210	81	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/film_art_direction_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01650165	0.089285714	0.166666667	15	168	90	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /film/film/costume_design_by  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.0220022	0.078431373	0.170940171	20	255	117	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?g  ?g  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01650165	0.217391304	0.306122449	15	69	49	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?g  ?g  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.03850385	0.296610169	0.514705882	35	118	68	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?g  ?g  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.053905391	0.278409091	0.324503311	49	176	151	?b
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?g  ?g  /film/film_set_designer/film_sets_designed  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.01430143	0.063414634	0.10483871	13	205	124	?b
?g  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.045576408	0.087179487	1	17	195	17	?a
?g  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b  ?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.045576408	0.106918239	1	17	159	17	?a
?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?g  ?g  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.0330033	0.172413793	0.365853659	30	174	82	?b
?g  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a  ?g  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.671586716	0.0053374	0.12431694	182	34099	1464	?a
?g  /location/location/contains  ?a  ?g  /location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency  ?b	0.697050938	0.127513487	1	260	2039	260	?a
?h  /location/statistical_region/religions./location/religion_percentage/religion  ?b  ?a  /people/person/place_of_birth  ?h   => ?a  /people/person/religion  ?b	0.011059908	0.020236088	0.110091743	12	593	109	?a
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?g  ?g  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.095709571	0.237057221	0.31294964	87	367	278	?b
?b  /dataworld/gardening_hint/split_to  ?h  ?h  /people/ethnicity/people  ?a   => ?a  /people/person/religion  ?b	0.077419355	0.247787611	0.68852459	84	339	122	?a
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?g  ?g  /film/director/film  ?b   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.091309131	0.082751745	0.212276215	83	1003	391	?b
?h  /people/person/religion  ?b  ?a  /people/person/spouse_s./people/marriage/spouse  ?h   => ?a  /people/person/religion  ?b	0.019354839	0.153284672	0.4375	21	137	48	?a
?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?h  ?h  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.026728111	0.195945946	0.617021277	29	148	47	?a
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.135313531	0.194006309	0.343575419	123	634	358	?b
?h  /people/person/religion  ?b  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /people/person/religion  ?b	0.012903226	0.411764706	0.933333333	14	34	15	?a
?a  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?h  ?h  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.014746544	0.153846154	0.355555556	16	104	45	?a
?a  /award/award_ceremony/awards_presented./award/award_honor/award_winner  ?h  ?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?h   => ?a  /award/award_ceremony/awards_presented./award/award_honor/honored_for  ?b	0.569856986	0.145383104	0.240594519	518	3563	2153	?b
?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?h  ?h  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.047004608	0.116704805	0.354166667	51	437	144	?a
?h  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?h   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.147601476	0.007558579	0.240963855	40	5292	166	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?h  ?h  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.686346863	0.005451188	0.134102379	186	34121	1387	?a
?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?h  ?h  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.011059908	0.148148148	0.292682927	12	81	41	?a
?g  /influence/influence_node/peers./influence/peer_relationship/peers  ?a  ?g  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.010138249	0.146666667	0.268292683	11	75	41	?a
?g  /base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer  ?a  ?g  /location/statistical_region/religions./location/religion_percentage/religion  ?b   => ?a  /people/person/religion  ?b	0.010138249	0.056701031	0.130952381	11	194	84	?a
?g  /people/person/religion  ?b  ?g  /people/person/spouse_s./people/marriage/spouse  ?a   => ?a  /people/person/religion  ?b	0.019354839	0.155555556	0.428571429	21	135	49	?a
?g  /people/person/religion  ?b  ?g  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/religion  ?b	0.012903226	0.388888889	0.875	14	36	16	?a
?g  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?a  ?g  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.023041475	0.172413793	0.581395349	25	145	43	?a
?g  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?a  ?g  /people/person/religion  ?b   => ?a  /people/person/religion  ?b	0.016589862	0.165137615	0.367346939	18	109	49	?a
